"names","vals"
"Intercept",-79.2925543527328
"V1",5.14203533064574
"V2",7.10673070047051
"V3",0.344143905676901
"V4",3.73542972141877
"V5",3.73834216268733
"V6",9.34730807319283
"V7",0.0986807141453028
"V8",6.6468552662991
"V9",6.383390519768
"V10",5.61536678345874
"V11",7.06644327379763
"V12",8.24480352457613
"V13",5.65609720768407
"V14",0.2349066385068
"V15",3.79133872454986
"V16",3.57597324997187
"V17",9.40460714977235
"V18",2.46341301128268
"V19",0.70349583402276
"V20",5.05571363726631
"V21",2.2931266692467
"V22",0.997327419463545
"V23",4.25472564762458
"V24",8.35522282402962
"V25",8.55346977477893
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
