"names","vals"
"Intercept",-65.5606361949004
"V1",6.46259609609842
"V2",0.956183767411858
"V3",6.63004411850125
"V4",7.52984194550663
"V5",0.449954436626285
"V6",2.22739605233073
"V7",5.45060341944918
"V8",3.4401641599834
"V9",1.97904250817373
"V10",8.06216073455289
"V11",1.30333218257874
"V12",4.95460039703175
"V13",9.84038069378585
"V14",2.05629731761292
"V15",9.98586085857823
"V16",2.45489678345621
"V17",8.50635814247653
"V18",6.71253626700491
"V19",5.94664964126423
"V20",3.69983552955091
"V21",8.82481479085982
"V22",4.99908629572019
"V23",5.02516009146348
"V24",5.54133956786245
"V25",4.62516946252435
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
