"names","vals"
"Intercept",-49.499739766779
"V1",3.05950073059648
"V2",6.86048439703882
"V3",3.46359213115647
"V4",9.96156239882112
"V5",4.72959586884826
"V6",7.65979030402377
"V7",3.30346638336778
"V8",0.83015357144177
"V9",4.92784300819039
"V10",2.680879002437
"V11",0.468062094878405
"V12",1.98300137650222
"V13",9.23222122481093
"V14",8.88884281041101
"V15",7.63277482008561
"V16",6.0322503792122
"V17",1.2781999912113
"V18",1.83194702258334
"V19",1.44257961306721
"V20",6.31576412590221
"V21",8.40415181824937
"V22",0.363202432636172
"V23",9.76590152829885
"V24",1.70070335501805
"V25",0.0116851250641048
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
