"names","vals"
"Intercept",-63.9319231973332
"V1",1.70855723554268
"V2",2.94348133495077
"V3",7.59510759962723
"V4",8.32570613129064
"V5",0.982724817004055
"V6",5.01155387377366
"V7",7.13789273053408
"V8",0.340847773477435
"V9",8.9723791833967
"V10",3.81746681407094
"V11",4.46596026653424
"V12",1.08231096062809
"V13",8.49413672694936
"V14",7.87946614203975
"V15",3.82441519061103
"V16",9.2889930610545
"V17",4.61038010194898
"V18",7.70869144005701
"V19",9.81259210268036
"V20",1.01781138684601
"V21",1.62439831532538
"V22",7.74565662955865
"V23",2.64609533362091
"V24",2.1665705810301
"V25",7.41838703397661
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
