"names","vals"
"Intercept",-58.3753622332627
"V1",0.660421238280833
"V2",1.62763137370348
"V3",9.14328024256974
"V4",9.38718737103045
"V5",6.2680497369729
"V6",4.25936827203259
"V7",6.91892674425617
"V8",5.36096220836043
"V9",6.27419337630272
"V10",3.57372181490064
"V11",0.9427884593606
"V12",0.724068921990693
"V13",7.05655704019591
"V14",5.05627233302221
"V15",7.2547782654874
"V16",0.896213720552623
"V17",1.43814945593476
"V18",9.75903123850003
"V19",2.5386014720425
"V20",9.58332763286307
"V21",8.7240676372312
"V22",3.25420615263283
"V23",3.53640417102724
"V24",2.46991807827726
"V25",6.24119149986655
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
