"names","vals"
"Intercept",-76.169270689874
"V1",9.26956417504698
"V2",5.3522580396384
"V3",9.45443130098283
"V4",3.89311174629256
"V5",4.0060215909034
"V6",9.5047174487263
"V7",8.54947589337826
"V8",6.82459056843072
"V9",6.94327481091022
"V10",3.29281656071544
"V11",2.92085860855877
"V12",9.65542036574334
"V13",2.98786365427077
"V14",8.72099243337288
"V15",4.58379230462015
"V16",7.69717582967132
"V17",6.57932124566287
"V18",4.17033649515361
"V19",4.43257676204666
"V20",5.3611345263198
"V21",6.40656012110412
"V22",5.29189166612923
"V23",8.24326543370262
"V24",5.27867596363649
"V25",5.28627890860662
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
