"names","vals"
"Intercept",-60.8049576602899
"V1",6.5715610794723
"V2",1.8149175751023
"V3",8.39632789604366
"V4",3.12127195298672
"V5",9.1462878510356
"V6",6.44607131136581
"V7",9.64620871702209
"V8",2.79986074194312
"V9",9.62261467473581
"V10",4.40946167567745
"V11",4.32672458468005
"V12",6.61750499159098
"V13",4.37737418338656
"V14",3.93215305637568
"V15",3.00888650119305
"V16",2.93052966007963
"V17",5.96166181610897
"V18",6.94534501759335
"V19",2.4587818258442
"V20",7.23388510290533
"V21",2.75212126551196
"V22",3.95719908410683
"V23",8.57962839305401
"V24",3.11509779188782
"V25",6.25790963647887
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
