"names","vals"
"Intercept",-76.72940497903
"V1",7.94888884527609
"V2",9.35881726909429
"V3",8.86145804775879
"V4",8.38104669703171
"V5",3.69219458196312
"V6",0.446962348651141
"V7",9.94082059711218
"V8",7.17577569885179
"V9",6.944214112591
"V10",9.82476703124121
"V11",7.51014117849991
"V12",9.64141919277608
"V13",3.95882993470877
"V14",1.40228868927807
"V15",0.990140363574028
"V16",6.37082077562809
"V17",4.64093049056828
"V18",3.39383581886068
"V19",1.49355676025152
"V20",9.59686439484358
"V21",1.29613323369995
"V22",3.31781836226583
"V23",9.54780436120927
"V24",6.99235623003915
"V25",2.28875580476597
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
