"names","vals"
"Intercept",-63.0628690397413
"V1",1.5660080476664
"V2",3.52930916938931
"V3",4.41267135087401
"V4",4.4291145936586
"V5",7.44677498703822
"V6",1.69548092409968
"V7",0.573580560740083
"V8",9.42937090061605
"V9",9.46536568691954
"V10",4.40821126569062
"V11",6.20754003757611
"V12",6.47032503038645
"V13",3.20562535896897
"V14",2.89554451592267
"V15",8.17940897075459
"V16",7.21549307927489
"V17",2.48574085300788
"V18",7.13059250032529
"V19",1.90004282165319
"V20",5.69883737945929
"V21",3.46301746787503
"V22",9.13078891579062
"V23",6.03897305671126
"V24",2.68110135570168
"V25",9.219216092024
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
