"names","vals"
"Intercept",-56.0432329808517
"V1",2.85803624195978
"V2",8.49971423391253
"V3",3.96971001289785
"V4",8.57861857162789
"V5",4.71291409339756
"V6",8.41879151994362
"V7",3.32823264412582
"V8",3.9765580650419
"V9",9.1654460481368
"V10",9.86867105122656
"V11",9.83598368475214
"V12",0.746871908195317
"V13",7.29825957212597
"V14",0.362398780416697
"V15",3.9966825582087
"V16",1.55714088119566
"V17",3.84140468668193
"V18",1.32601025747135
"V19",1.10410320805386
"V20",7.73035087389871
"V21",1.7324311635457
"V22",8.32994246389717
"V23",3.93244883278385
"V24",7.2452976484783
"V25",0.702722426503897
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
