"names","vals"
"Intercept",-72.1772256126977
"V1",7.71547045558691
"V2",4.84508548630401
"V3",3.70618802728131
"V4",5.87558953091502
"V5",6.63459404138848
"V6",1.70613976661116
"V7",5.95830754609779
"V8",2.92752353474498
"V9",5.03578038653359
"V10",9.31530793895945
"V11",3.05246515665203
"V12",4.30480198236182
"V13",3.49110360722989
"V14",0.726808649487793
"V15",1.82691099354997
"V16",2.92505145305768
"V17",9.85293798148632
"V18",5.67153473384678
"V19",0.301408304367214
"V20",8.49813367240131
"V21",1.31634402554482
"V22",8.40937334345654
"V23",3.29063431359828
"V24",8.23904771124944
"V25",7.41715985815972
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
