"names","vals"
"Intercept",-55.64771523794
"V1",9.51126779895276
"V2",5.59748193016276
"V3",2.94832571875304
"V4",1.06813325313851
"V5",6.29211940104142
"V6",9.37438826309517
"V7",2.75371756404638
"V8",4.76538984104991
"V9",0.0776130962185562
"V10",5.20339077338576
"V11",7.75618977146223
"V12",7.83574071247131
"V13",9.68603149056435
"V14",0.635080207139254
"V15",3.75856070080772
"V16",8.36837538750842
"V17",0.462930540088564
"V18",4.97266714926809
"V19",5.76072281692177
"V20",2.09007378667593
"V21",8.99609694490209
"V22",1.57936029136181
"V23",8.06811651214957
"V24",5.27916206745431
"V25",4.53727279324085
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
